valeur_brute,nb_pdc_dedoublonne,part_pdc_pct,nb_stations,nb_enseignes,nb_pdc_non_dedoublonne,longueur
"entre 08:00 et 21:00 : 0.41€ par kwh de charge, entre 08:00 et 21:00 : 3.6€ par heure de charge, 3.6€ par heure d'occupation hors charge, 0.41€ par kwh de charge, entre 21:00 et 08:00 : 0.41€ par kwh de charge, par défaut : 0.41€ par kwh de charge, entre 07:00 et 23:00 : 0.2667€ par kwh de charge, 6.0€ par heure d'occupation hors charge, entre 23:00 et 07:00 : 0.2667€ par kwh de charge, par défaut : 0.2667€ par kwh de charge",4,0.0024,2,1,4,428
"par défaut : 0.33334€ par kwh de charge, par défaut : 6.0€ par heure d'occupation hors charge, 6.0€ par heure de charge, 0.33334€ par kwh de charge, par défaut : 0.33334€ par kwh de charge",4,0.0024,4,1,4,188
"par défaut : 0.41667€ par kwh de charge, par défaut : 0.41667€ par kwh de charge, 6.0€ par heure d'occupation hors charge, 6.0€ par heure de charge, par défaut : 0.41667€ par kwh de charge",4,0.0024,4,1,4,188
"par défaut : 0.475€ par kwh de charge, par défaut : 0.475€ par kwh de charge, 6.0€ par heure de charge, 6.0€ par heure d'occupation hors charge, par défaut : 0.475€ par kwh de charge",4,0.0024,2,1,4,182
"par défaut : 0.475€ par kwh de charge, par défaut : 6.0€ par heure d'occupation hors charge, 6.0€ par heure de charge, 0.475€ par kwh de charge, par défaut : 0.475€ par kwh de charge",4,0.0024,2,1,4,182
0.42 €/kWh pour les non abonnés,4,0.0024,1,1,4,31
"60min gratuit, après 0.20€/kWh + 0.01€/min",3,0.0018,2,2,6,42
"0,25€ à la connexion / 0,35€ / kWh",3,0.0018,1,1,3,34
"0,60cts/KWh TTC",3,0.0018,3,1,75,15
"0,46€/KWH HT",3,0.0018,3,1,72,12
"0,47€KWHTTC",3,0.0018,3,1,75,11
"0,30€ / kwh pour les non abonnés.",3,0.0018,2,2,83,33
0.3€ : prix au kWh,3,0.0018,3,1,3,18
"0,36 €/kWh",3,0.0018,3,3,3,10
0.45 kwh,3,0.0018,3,3,3,8
"0,49",3,0.0018,3,1,3,4
voir tarif gireve,3,0.0018,3,3,3,17
0.67€TTC/kWh,3,0.0018,3,3,3,12
0.50 €/kwh,3,0.0018,1,1,3,10
"0,42 € HT / kWh + 0,08€ HT/ min à partir de 90min",3,0.0018,1,1,246,49
"0,06/mn + 0,06/mn après recharge ",3,0.0018,1,1,9,35
"0,34  / Kwh",3,0.0018,3,1,9,12
"0,35€/kWh + 0,03€/min entre 6h et 21h, 0,2€/kWh",3,0.0018,3,1,4,47
"0,55€/kWh entre 6h et 18h, 25€ la session entre 18h et 6h",3,0.0018,3,1,3,57
"0,3€/kWh + 0,03€/min entre 8h et 20h, 15€ la session entre 18h et 6h",3,0.0018,3,1,5,68
"0,30 TTC /kWh",3,0.0018,1,1,3,14
"0,19€/kWh et 0,03€/min",3,0.0018,3,1,5,22
"entre 06:00 et 00:00 : 0.33334€ par kwh de charge, entre 06:00 et 00:00 : 0.33334€ par kwh de charge, 4.0€ par heure de charge, 4.0€ par heure d'occupation hors charge, entre 06:00 et 00:00 : 8.0€ par heure d'occupation hors charge, 8.0€ par heure de charge, 0.33334€ par kwh de charge, entre 00:00 et 06:00 : 0.20834€ par kwh de charge, par défaut : 0.20834€ par kwh de charge",3,0.0018,2,1,3,377
"entre 08:00 et 22:00 : 10.0€ par heure d'occupation hors charge, 0.3€ par kwh de charge, entre 22:00 et 08:00 : 0.3€ par kwh de charge, par défaut : 0.3€ par kwh de charge",3,0.0018,2,1,3,171
"entre 09:00 et 19:00 : 0.5€ par kwh de charge, entre 09:00 et 19:00 : 1.0€ par heure de charge, 1.0€ par heure d'occupation hors charge, 0.5€ par kwh de charge, par défaut : 0.5€ par kwh de charge, entre 19:00 et 09:00 : 0.5€ par kwh de charge, entre 09:00 et 19:00 : 0.5€ par kwh de charge, entre 09:00 et 19:00 : 1.0€ par heure de charge, 1.0€ par heure d'occupation hors charge, 0.5€ par kwh de charge, entre 19:00 et 09:00 : 0.5€ par kwh de charge, par défaut : 0.5€ par kwh de charge",3,0.0018,1,1,3,488
"par défaut : 0.4667€ par kwh de charge, par défaut : 10.0€ par heure d'occupation hors charge, 0.4667€ par kwh de charge, par défaut : 0.4667€ par kwh de charge",3,0.0018,1,1,3,160
"entre 07:00 et 23:00 : 0.45833€ par kwh de charge, entre 07:00 et 23:00 : 4.5€ par heure de charge, 4.5€ par heure d'occupation hors charge, 0.45833€ par kwh de charge, entre 23:00 et 07:00 : 0.45833€ par kwh de charge, par défaut : 0.45833€ par kwh de charge, entre 07:00 et 22:00 : 0.3333€ par kwh de charge, entre 07:00 et 22:00 : 5.0€ par heure d'occupation hors charge, 0.3333€ par kwh de charge, 5.0€ par heure de charge, entre 22:00 et 07:00 : 0.3333€ par kwh de charge, par défaut : 0.3333€ par kwh de charge",3,0.0018,3,1,3,516
"entre 07:00 et 22:00 : 0.3333€ par kwh de charge, entre 07:00 et 22:00 : 5.0€ par heure d'occupation hors charge, 5.0€ par heure de charge, 0.3333€ par kwh de charge, entre 22:00 et 07:00 : 0.3333€ par kwh de charge, par défaut : 0.3333€ par kwh de charge",3,0.0018,2,1,3,255
0.43€ / kwh,3,0.0018,3,1,3,11
"{""fixedPrice"":0,""energyPrice"":0.54,""minimumBilling"":0,""matrix"":[],""matrixOSF"":[{""duration"":0,""interval"":1,""price"":0.3,""gracePeriodBeforeOSF"":900},{""duration"":15,""interval"":1,""price"":0,""gracePeriodBeforeOSF"":0}],""hasDynamicTarif"":false,""ecoHour"":false}",2,0.0012,1,1,2,251
"{""fixedPrice"":0,""energyPrice"":0.3,""minimumBilling"":0,""matrix"":[],""matrixOSF"":[{""duration"":0,""interval"":1,""price"":0.1,""gracePeriodBeforeOSF"":900},{""duration"":15,""interval"":1,""price"":0,""gracePeriodBeforeOSF"":0}],""hasDynamicTarif"":false,""ecoHour"":false}",2,0.0012,1,1,2,250
"{""fixedPrice"":0,""energyPrice"":0.49,""minimumBilling"":0,""matrix"":[],""matrixOSF"":[{""duration"":0,""interval"":1,""price"":0.2,""gracePeriodBeforeOSF"":900},{""duration"":15,""interval"":1,""price"":0,""gracePeriodBeforeOSF"":0}],""hasDynamicTarif"":false,""ecoHour"":false}",2,0.0012,1,1,2,251
"0,50 € / kwh",2,0.0012,1,1,2,12
0.50? 2.5 CONNECTION,2,0.0012,2,1,2,20
"0,66€/kwh TTC",2,0.0012,2,1,2,13
"0,50€/KWH TTC",2,0.0012,2,1,2,13
"0,42€/KWHHT",2,0.0012,2,1,50,11
"0,78€/KWHTTC",2,0.0012,2,1,50,12
"0,53€/KWH HT",2,0.0012,2,1,2,12
0.40,2,0.0012,2,2,50,4
0.27€/kWh+0.10€/min pour les non abonnées,2,0.0012,1,1,2,41
0.05AC/MIN,2,0.0012,2,2,2,10
0.3 AC : prix au kWh,2,0.0012,2,2,2,20
0.36€ AC /KW,2,0.0012,2,1,2,12
"0,32 €/kWh",2,0.0012,2,2,15,10
0.40€/kWh,2,0.0012,2,1,5,9
"8h à 22h = activation à 0,99€ + 0,48€/kWh + 0,05€/min pendant 90min, 0;10€/min au delà. De 22h à 8h = 20€",2,0.0012,1,1,2,105
0.21€/kWh HTVA pour l'itinérance,2,0.0012,1,1,2,32
0.5€/kWh HTVA pour l'itinérance,2,0.0012,1,1,2,31
0.3€/kWh et 0.5€/Session,2,0.0012,2,2,2,24
FIXE,2,0.0012,2,1,2,4
0.67€/kWh,2,0.0012,2,2,2,9
0.45€ / kwh,2,0.0012,2,2,2,11
"entre 08:00 et 20:00 : 0.39€ par kwh de charge, 3.2€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.39€ par kwh de charge, par défaut : 0.39€ par kwh de charge, entre 08:00 et 20:00 : 2.6667€ par heure d'occupation hors charge, 2.6667€ par heure de charge, entre 08:00 et 20:00 : 4.0€ par heure d'occupation hors charge, 4.0€ par heure de charge, entre 20:00 et 08:00 : 2.6667€ par heure d'occupation hors charge, 2.6667€ par heure de charge, par défaut : 2.6667€ par heure d'occupation hors charge, 2.6667€ par heure de charge",2,0.0012,1,1,4,541
0.60€/kWh+ 20 minutes après la recharge 3.60€/h,2,0.0012,2,1,2,47
" 0,22€ / kwh",2,0.0012,2,2,3,12
"0,4494",2,0.0012,1,1,2,6
"0,35€",2,0.0012,2,1,2,5
"par défaut : 0.33334€ par kwh de charge, par défaut : 2.5€ par heure d'occupation hors charge, 0.33334€ par kwh de charge, 2.5€ par heure de charge, par défaut : 0.33334€ par kwh de charge, par défaut :  prix de départ 0.0€, , par défaut : 0.75€ par heure de charge, 0.75€ par heure d'occupation hors charge, 0.33333€ par kwh de charge",2,0.0012,1,1,2,335
"par défaut : 25.0€ par heure d'occupation hors charge, 25.0€ par heure de charge, par défaut : 0.375€ par kwh de charge",2,0.0012,1,1,2,119
0.37 €TTC le kWh,2,0.0012,2,1,88,16
"0,39€/kWh",2,0.0012,2,1,116,9
" 0,41 € ",2,0.0012,2,1,120,8
"0,46 €/kWh",2,0.0012,1,1,62,10
"0,3€ / kwh pour les non abonnés.",2,0.0012,1,1,148,32
Coût de l’énergie : 0.40€ / KWH Coût de la durée lorsque le véhicule est en charge : 0.1€ / Minute Coût de la durée lorsque le véhicule est chargé : 0.1€ / Minute,2,0.0012,2,2,535,162
0.50 € par KWh + 0.10 € par minute au-delà de 60 minutes,2,0.0012,1,1,16,56
"0,3 €/kWh pour les non abonnés",2,0.0012,2,1,2,30
"0,35/kWh + 0,05/mn + 0,05/kWh après charge",2,0.0012,1,1,6,45
"0,40  / Kwh",2,0.0012,2,1,4,12
39 cts/kWh,2,0.0012,1,1,64,10
"0,26€/kWh + 0,03€/min entre 6h et 18h, 0,52€/kWh entre 18h et 6h",2,0.0012,2,1,2,64
"0,0417€/kWh entre 6h et 21h, 0,028€/kWh entre 21h et 6h",2,0.0012,2,1,2,55
"0,6€/kWh + 0,03€/min entre 6h et 19h, 15€ la session entre 19h et 6h",2,0.0012,2,1,2,68
"0,7€/kWh ",2,0.0012,2,1,2,9
"entre 07:00 et 22:00 : 0.3333 par kwh de charge, entre 07:00 et 22:00 : 5.0 par heure d'occupation hors charge, 0.3333 par kwh de charge, 5.0 par heure de charge, entre 22:00 et 07:00 : 0.3333 par kwh de charge, par défaut : 0.3333 par kwh de charge, par défaut : 0.4583 par kwh de charge, par défaut : 6.0 par heure de charge, 6.0 par heure d'occupation hors charge, 0.4583 par kwh de charge, par défaut : 0.4583 par kwh de charge",2,0.0012,2,1,2,442
"par défaut : 0.4583 par kwh de charge, par défaut : 6.0 par heure de charge, 6.0 par heure d'occupation hors charge, 0.4583 par kwh de charge, par défaut : 0.4583 par kwh de charge, entre 07:00 et 22:00 : 0.3333 par kwh de charge, entre 07:00 et 22:00 : 5.0 par heure d'occupation hors charge, 0.3333 par kwh de charge, 5.0 par heure de charge, entre 22:00 et 07:00 : 0.3333 par kwh de charge, par défaut : 0.3333 par kwh de charge",2,0.0012,2,1,2,442
"0,348 € TTC / kWh",2,0.0012,1,1,2,17
"0,42  TTC / kWh",2,0.0012,1,1,26,16
"0,60€",2,0.0012,2,1,2,5
"0,60 € / Kwh",2,0.0012,1,1,138,12
"0,45€",2,0.0012,2,1,2,5
"par défaut :  prix de départ 1.25€, 0.25€ par heure de charge, 0.25€ par heure d'occupation hors charge, 0.33334€ par kwh de charge",2,0.0012,1,1,2,131
"par défaut : 0.5€ par kwh de charge, par défaut : 2.5€ par heure d'occupation hors charge, 0.5€ par kwh de charge, 2.5€ par heure de charge, par défaut : 0.5€ par kwh de charge",2,0.0012,1,1,2,176
"entre 06:00 et 00:00 : 0.41667€ par kwh de charge, entre 06:00 et 00:00 : 0.41667€ par kwh de charge, 4.0€ par heure de charge, 4.0€ par heure d'occupation hors charge, entre 06:00 et 00:00 : 8.0€ par heure de charge, 8.0€ par heure d'occupation hors charge, 0.41667€ par kwh de charge, entre 00:00 et 06:00 : 0.29167€ par kwh de charge, par défaut : 0.29167€ par kwh de charge",2,0.0012,1,1,2,377
"par défaut : 0.45€ par kwh de charge, 10.0€ par heure d'occupation hors charge",2,0.0012,1,1,2,78
"entre 08:00 et 22:00 : 0.3583€ par kwh de charge, entre 08:00 et 22:00 : 6.6667€ par heure de charge, 6.6667€ par heure d'occupation hors charge, 0.3583€ par kwh de charge, entre 22:00 et 08:00 : 0.3583€ par kwh de charge, par défaut : 0.3583€ par kwh de charge",2,0.0012,1,1,2,261
"par défaut :  prix de départ 0.0€,",2,0.0012,1,1,2,34
"par défaut : 0.4667€ par kwh de charge, par défaut : 0.4667€ par kwh de charge, 6.6667€ par heure d'occupation hors charge, 6.6667€ par heure de charge, par défaut : 0.4667€ par kwh de charge, par défaut :  prix de départ 0.0€,",2,0.0012,1,1,2,227
"par défaut : 4.5€ par heure d'occupation hors charge, 0.49167€ par kwh de charge, 4.5€ par heure de charge, par défaut : 0.491667€ par kwh de charge, par défaut : 0.49167€ par kwh de charge, par défaut : 0.4167€ par kwh de charge, par défaut : 6.0€ par heure d'occupation hors charge, 0.4167€ par kwh de charge, 6.0€ par heure de charge, par défaut : 0.4167€ par kwh de charge",2,0.0012,2,1,2,376
"entre 08:00 et 21:00 : 0.33333€ par kwh de charge, entre 08:00 et 21:00 : 0.33333€ par kwh de charge, 3.0€ par heure d'occupation hors charge, 3.0€ par heure de charge, entre 21:00 et 08:00 : 0.33333€ par kwh de charge, par défaut : 0.3333€ par kwh de charge, entre 07:00 et 23:00 : 0.2667€ par kwh de charge, 6.0€ par heure d'occupation hors charge, entre 23:00 et 07:00 : 0.2667€ par kwh de charge, par défaut : 0.2667€ par kwh de charge",2,0.0012,2,1,2,439
"entre 06:00 et 22:00 : 0.333€ par kwh de charge, entre 06:00 et 22:00 : 0.333€ par kwh de charge, 0.058€ par heure de charge, entre 22:00 et 06:00 : 0.333€ par kwh de charge, par défaut : 0.333€ par kwh de charge",2,0.0012,1,1,2,212
"par défaut : 0.29167€ par kwh de charge, par défaut : 2.0€ par heure de charge, 0.29167€ par kwh de charge, 2.0€ par heure d'occupation hors charge, par défaut : 0.29167€ par kwh de charge",2,0.0012,1,1,2,188
"par défaut : 0.33334€ par kwh de charge, par défaut : 2.5€ par heure de charge, 2.5€ par heure d'occupation hors charge, 0.33334€ par kwh de charge, par défaut : 0.33334€ par kwh de charge",2,0.0012,1,1,2,188
"par défaut : 27.5€ par heure de charge, 27.5€ par heure d'occupation hors charge, par défaut : 37.5€ par heure de charge, 37.5€ par heure d'occupation hors charge, par défaut : 27.49€ par heure de charge, 27.49€ par heure d'occupation hors charge, par défaut : 6.6667€ par heure d'occupation hors charge, 0.42€ par kwh de charge",2,0.0012,1,1,2,328
"par défaut : 6.6667€ par heure d'occupation hors charge, 0.42€ par kwh de charge, par défaut : 27.5€ par heure de charge, 27.5€ par heure d'occupation hors charge, par défaut : 37.5€ par heure de charge, 37.5€ par heure d'occupation hors charge, par défaut : 27.49€ par heure de charge, 27.49€ par heure d'occupation hors charge",2,0.0012,1,1,2,328
25cts / kWh,2,0.0012,1,1,2,11
0.55 / kwh,2,0.0012,2,1,2,11
0.35/ kwh,2,0.0012,2,2,2,10
0.50/ kwh,2,0.0012,2,1,2,10
"0,55€/Kw",2,0.0012,1,1,2,8
0.41,2,0.0012,2,1,11,4
"2,5 € à la connexion / 2€ /kWh",1,0.0006,1,1,1,30
"0,32 € / kWh pour les non abonnées ",1,0.0006,1,1,1,35
"0,66kwh TTC",1,0.0006,1,1,1,11
"0,39cts/KWh",1,0.0006,1,1,25,11
"0,45cts/KWH",1,0.0006,1,1,25,11
"0,30cts/KWh",1,0.0006,1,1,25,11
"0,25cts/KWh",1,0.0006,1,1,25,11
"0,40cts/KWh",1,0.0006,1,1,25,11
"0,40cts/KWh HT",1,0.0006,1,1,25,14
"1,2€KWHTTC",1,0.0006,1,1,25,10
"1,25€KWH HT",1,0.0006,1,1,22,11
"0,83€KWHHT",1,0.0006,1,1,25,10
"0,67€KWHHT",1,0.0006,1,1,25,10
"0,47€/KWHTTC",1,0.0006,1,1,25,12
"0,50€KWH HT",1,0.0006,1,1,2,11
10 € tarif de départ. Des frais supplémentaires peuvent s'appliquer ,1,0.0006,1,1,1,68
"0,15€ / kwh pour les non abonnés.",1,0.0006,1,1,1,33
0.20 €/KWh,1,0.0006,1,1,1,10
"2,09 €HT/h",1,0.0006,1,1,1,10
2 € / heure pour les abonnés,1,0.0006,1,1,10,28
"0,2668 / kwh",1,0.0006,1,1,1,12
0.20 €/kWh + 0.50 € lancement pour les utilisateurs ZEbornes,1,0.0006,1,1,1,60
0 POUR UTILISATEUR ZEBORNE,1,0.0006,1,1,1,26
0.25AC €/kWh,1,0.0006,1,1,4,12
0.2AC €/kWh,1,0.0006,1,1,1,11
"0,20 €/kWh pour abonné ZEborne",1,0.0006,1,1,1,30
0.5€/au kWh ,1,0.0006,1,1,1,12
AC 1€/kWh - DC 5€/kWh,1,0.0006,1,1,1,21
"0,32 €/ kWh",1,0.0006,1,1,1,11
2 AC- DC €/kWh - 6 AC- DC €/h,1,0.0006,1,1,1,29
0.2 AC €/kWh,1,0.0006,1,1,1,12
3 €/heure,1,0.0006,1,1,1,9
0.04€ la minute,1,0.0006,1,1,1,15
0.3€ : prix au kWh0000000000,1,0.0006,1,1,1,28
"Charge rapide : 0,10€ / min",1,0.0006,1,1,76,27
5€,1,0.0006,1,1,2,2
15,1,0.0006,1,1,2,2
"0,60",1,0.0006,1,1,3,4
0.38€/kWh,1,0.0006,1,1,1,9
0.40 e/kwh+0.06 e/min,1,0.0006,1,1,1,21
"0,40€/kwh pour les non abonnés",1,0.0006,1,1,1,30
0.55,1,0.0006,1,1,1,4
"De 8h à 22h 0,30cts KW après la charge 0,50cts par tranches de 5mn   et de 21h à 8 h 0,05cts KW la facturation continue tant que le véhicule est branché",1,0.0006,1,1,1,152
"0,52",1,0.0006,1,1,1,4
0.35€/kWh,1,0.0006,1,1,1,9
0.51€/kwh,1,0.0006,1,1,1,9
0.40 kw/h,1,0.0006,1,1,2,9
0.79,1,0.0006,1,1,1,4
"0,59",1,0.0006,1,1,1,4
"0,80€",1,0.0006,1,1,1,5
0.12/MIN,1,0.0006,1,1,1,8
0.43€/kWh,1,0.0006,1,1,1,9
0.50€ /kW,1,0.0006,1,1,1,9
050 kWh,1,0.0006,1,1,1,7
"1,23€",1,0.0006,1,1,2,5
"par défaut : 0.75€ par heure de charge, 0.75€ par heure d'occupation hors charge, 0.33333€ par kwh de charge, par défaut : 0.33334€ par kwh de charge, par défaut : 2.5€ par heure d'occupation hors charge, 0.33334€ par kwh de charge, 2.5€ par heure de charge, par défaut : 0.33334€ par kwh de charge",1,0.0006,1,1,1,298
"par défaut :  prix de départ 0.0€, , par défaut : 0.3475€ par kwh de charge",1,0.0006,1,1,1,75
"par défaut : 0.3475€ par kwh de charge, par défaut :  prix de départ 0.0€, ",1,0.0006,1,1,1,75
"0,40/kWh",1,0.0006,1,1,1,8
"0,30€/kwh",1,0.0006,1,1,1,9
40 cts par kWh,1,0.0006,1,1,36,14
"0,39",1,0.0006,1,1,855,4
Coût de l’énergie : 0.25€ / KWH Coût de la durée lorsque le véhicule est en charge : 0.1€ / Minute Coût de la durée lorsque le véhicule est chargé : 0.1€ / Minute,1,0.0006,1,1,82,162
Coût de l’énergie : 0.50€ / KWH ,1,0.0006,1,1,73,32
Coût de l’énergie : 0.50€ / KWH,1,0.0006,1,1,73,31
Coût de l’énergie : 0.47€ / KWH Coût de la durée lorsque le véhicule est en charge : 0.1€ / Minute Coût de la durée lorsque le véhicule est chargé : 0.1€ / Minute,1,0.0006,1,1,39,162
"Lorsque le vehicule est branché, on applique 0.42€/Kwh ",1,0.0006,1,1,17,55
"Lorsque le vehicule est branché, on applique 0.38€/Kwh ",1,0.0006,1,1,17,55
6ct from 6am/10pm | 3ct/kwh from 10pm/6am,1,0.0006,1,1,3,41
"0,4€/kWh + 0,03€/min entre 8h et 20h, 15€ la session entre 20h et 8h",1,0.0006,1,1,4,68
"0,25€/kWh + 2€ la session entre 6h et 18h, 0,25€/kWh entre 18h et 6h",1,0.0006,1,1,1,68
"0,35€/kWh + 0,03€/min ",1,0.0006,1,1,2,22
"0,16€/kWh entre 6h30 et 20h30, 0,11€/kWh entre 20h30 et 6h30",1,0.0006,1,1,1,60
"0,13€/kWh entre 7h30 et 21h30, 0,09€/kWh entre 21h30 et 7h30",1,0.0006,1,1,1,60
"0,13€/kWh ",1,0.0006,1,1,1,10
"0,45€/kWh + 0,05€/min entre 8h et 17h, 0,35€/kWh entre 17h et 8h",1,0.0006,1,1,2,64
0.50€/kwh,1,0.0006,1,1,1,9
0.33,1,0.0006,1,1,4,4
"0,14 € / min",1,0.0006,1,1,2,12
0.30€/kwh + 0.025€/min pour point 22AC - 0.50€/kwh + 0.025€/min pour point de charge 50DC,1,0.0006,1,1,1,89
"0,384  TTC / kWh",1,0.0006,1,1,14,17
0.30€/KW + 0.025€/min de stationnement,1,0.0006,1,1,2,38
0.98/kW,1,0.0006,1,1,3,7
"0,19€ /kWh et 0.03€/min",1,0.0006,1,1,1,23
"0,35 € / Kwh",1,0.0006,1,1,117,12
"entre 08:00 et 19:00 : 25.0€ par heure d'occupation hors charge, 0.5€ par kwh de charge, entre 19:00 et 08:00 : 0.5€ par kwh de charge, par défaut : 0.5€ par kwh de charge",1,0.0006,1,1,1,171
"entre 08:00 et 19:00 : 0.41667€ par kwh de charge, 20.0€ par heure d'occupation hors charge, entre 19:00 et 08:00 : 0.41667€ par kwh de charge, par défaut : 0.41667€ par kwh de charge, entre 08:00 et 19:00 : 0.33334€ par kwh de charge, 15.0€ par heure d'occupation hors charge, entre 19:00 et 08:00 : 0.33334€ par kwh de charge, par défaut : 0.33334€ par kwh de charge",1,0.0006,1,1,1,368
"entre 08:00 et 19:00 : 0.41667€ par kwh de charge, 20.0€ par heure d'occupation hors charge, entre 19:00 et 08:00 : 0.41667€ par kwh de charge, par défaut : 0.41667€ par kwh de charge, par défaut : 0.33334€ par kwh de charge, 15.0€ par heure d'occupation hors charge",1,0.0006,1,1,1,266
"par défaut : 0.33334€ par kwh de charge, 15.0€ par heure d'occupation hors charge, entre 08:00 et 19:00 : 0.41667€ par kwh de charge, 20.0€ par heure d'occupation hors charge, entre 19:00 et 08:00 : 0.41667€ par kwh de charge, par défaut : 0.41667€ par kwh de charge",1,0.0006,1,1,1,266
"par défaut : 0.41667€ par kwh de charge, 20.0€ par heure d'occupation hors charge, entre 08:00 et 19:00 : 0.5€ par kwh de charge, 25.0€ par heure d'occupation hors charge, entre 19:00 et 08:00 : 0.5€ par kwh de charge, par défaut : 0.5€ par kwh de charge, entre 08:00 et 19:00 : 0.41667€ par kwh de charge, 20.0€ par heure d'occupation hors charge, entre 19:00 et 08:00 : 0.41667€ par kwh de charge, par défaut : 0.41667€ par kwh de charge",1,0.0006,1,1,1,439
"entre 08:00 et 19:00 : 0.5€ par kwh de charge, 25.0€ par heure d'occupation hors charge, entre 19:00 et 08:00 : 0.5€ par kwh de charge, par défaut : 0.5€ par kwh de charge, par défaut : 0.41667€ par kwh de charge, 20.0€ par heure d'occupation hors charge",1,0.0006,1,1,1,254
"par défaut : 6.0€ par heure d'occupation hors charge, 0.42€ par kwh de charge, par défaut :  prix de départ 0.0€, , entre 08:00 et 20:00 : 0.4525€ par kwh de charge, 6.0€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.4525€ par kwh de charge",1,0.0006,1,1,1,255
"par défaut : 6.0€ par heure d'occupation hors charge, 0.5416667€ par kwh de charge, entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",1,0.0006,1,1,1,276
"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge, entre 08:00 et 20:00 : 2.5€ par heure d'occupation hors charge, 0.3342€ par kwh de charge, entre 20:00 et 08:00 : 0.3342€ par kwh de charge, par défaut :  prix de départ 0.0€,",1,0.0006,1,1,1,369
"par défaut : 0.42€ par kwh de charge, 6.0€ par heure d'occupation hors charge, par défaut :  prix de départ 0.0€,",1,0.0006,1,1,1,113
"par défaut :  prix de départ 0.0€, , par défaut : 6.0€ par heure d'occupation hors charge, 0.42€ par kwh de charge",1,0.0006,1,1,1,114
"par défaut : 0.4667€ par kwh de charge, par défaut : 6.6667€ par heure d'occupation hors charge, 6.6667€ par heure de charge, 0.4667€ par kwh de charge, par défaut : 0.4667€ par kwh de charge, entre 08:00 et 22:00 : 0.325€ par kwh de charge, entre 08:00 et 22:00 : 6.6667€ par heure d'occupation hors charge, 0.325€ par kwh de charge, 6.6667€ par heure de charge, entre 22:00 et 08:00 : 0.325€ par kwh de charge, par défaut : 0.325€ par kwh de charge",1,0.0006,1,1,1,450
"par défaut :  prix de départ 0.0€, , par défaut : 0.4667€ par kwh de charge, par défaut : 0.4667€ par kwh de charge, 6.6667€ par heure d'occupation hors charge, 6.6667€ par heure de charge, par défaut : 0.4667€ par kwh de charge",1,0.0006,1,1,1,228
"par défaut :  prix de départ 0.25€, 0.433333€ par kwh de charge, 3.0€ par heure d'occupation hors charge, par défaut :  prix de départ 0.25€, 0.43333€ par kwh de charge, 2.5€ par heure de charge, 3.0€ par heure d'occupation hors charge, par défaut :  prix de départ 0.25€, 0.43333€ par kwh de charge, 3.0€ par heure d'occupation hors charge, par défaut :  prix de départ 0.0€,",1,0.0006,1,1,1,376
"entre 07:00 et 23:00 : 0.45833€ par kwh de charge, entre 07:00 et 23:00 : 4.5€ par heure de charge, 4.5€ par heure d'occupation hors charge, 0.45833€ par kwh de charge, entre 23:00 et 07:00 : 0.45833€ par kwh de charge, par défaut : 0.45833€ par kwh de charge, par défaut : 0.4583€ par kwh de charge, par défaut : 0.4583€ par kwh de charge, 6.0€ par heure de charge, 6.0€ par heure d'occupation hors charge, par défaut : 0.4583€ par kwh de charge",1,0.0006,1,1,1,446
"par défaut : 0.4167€ par kwh de charge, par défaut : 6.0€ par heure d'occupation hors charge, 0.4167€ par kwh de charge, 6.0€ par heure de charge, par défaut : 0.4167€ par kwh de charge, par défaut : 4.5€ par heure d'occupation hors charge, 0.49167€ par kwh de charge, 4.5€ par heure de charge, par défaut : 0.491667€ par kwh de charge, par défaut : 0.49167€ par kwh de charge",1,0.0006,1,1,1,376
"par défaut : 4.5€ par heure d'occupation hors charge, 0.49167€ par kwh de charge, 4.5€ par heure de charge, par défaut : 0.491667€ par kwh de charge, par défaut : 0.49167€ par kwh de charge, entre 07:00 et 22:00 : 0.3333€ par kwh de charge, entre 07:00 et 22:00 : 5.0€ par heure d'occupation hors charge, 0.3333€ par kwh de charge, 5.0€ par heure de charge, entre 22:00 et 07:00 : 0.3333€ par kwh de charge, par défaut : 0.3333€ par kwh de charge",1,0.0006,1,1,1,446
"entre 07:00 et 22:00 : 0.3333€ par kwh de charge, entre 07:00 et 22:00 : 5.0€ par heure d'occupation hors charge, 0.3333€ par kwh de charge, 5.0€ par heure de charge, entre 22:00 et 07:00 : 0.3333€ par kwh de charge, par défaut : 0.3333€ par kwh de charge, par défaut :  prix de départ 0.0€,",1,0.0006,1,1,1,291
